,n_solutions,log_n_solutions,log_n_standardized
2028-01-01,315,5.752572638825633,1.8041998687697336
2028-01-02,118,4.770684624465665,0.4731039566866453
2028-01-03,198,5.288267030694535,1.1747642428104783
2028-01-04,121,4.795790545596741,0.5071387839764349
2028-01-05,202,5.308267697401205,1.2018781349273286
2028-01-06,93,4.532599493153256,0.15034398774630803
2028-01-07,506,6.226536669287466,2.4467289293097068
2028-01-08,183,5.209486152841421,1.067964991850121
2028-01-09,194,5.267858159063328,1.1470969679265537
2028-01-10,130,4.867534450455582,0.6043983666150216
2028-01-11,259,5.556828061699537,1.5388388473351065
2028-01-12,147,4.990432586778736,0.7710051532036264
2028-01-13,170,5.135798437050262,0.9680702830586217
2028-01-14,312,5.7430031878094825,1.7912270480995673
2028-01-15,100,4.605170185988092,0.24872440502072976
2028-01-16,205,5.3230099791384085,1.2218635005374383
2028-01-17,126,4.836281906951478,0.5620308743021344
2028-01-18,202,5.308267697401205,1.2018781349273286
2028-01-19,109,4.6913478822291435,0.36555114850020365
2028-01-20,239,5.476463551931511,1.4298927466960125
2028-01-21,105,4.653960350157523,0.31486676252585316
2028-01-22,582,6.366470447731438,2.636430074170434
2028-01-23,94,4.543294782270004,0.16484305017872736
2028-01-24,102,4.624972813284271,0.27556982512663725
2028-01-25,143,4.962844630259907,0.7336055560928741
2028-01-26,145,4.976733742420574,0.7524343228658128
2028-01-27,149,5.003946305945459,0.7893250186839983
2028-01-28,734,6.598509028614515,2.950993040559585
2028-01-29,256,5.545177444479562,1.5230446949185885
2028-01-30,347,5.849324779946859,1.9353618522630325
2028-01-31,312,5.7430031878094825,1.7912270480995673
2028-02-01,119,4.77912349311153,0.4845441040281305
2028-02-02,73,4.290459441148391,-0.17791303205788792
2028-02-03,80,4.382026634673881,-0.05378001973860605
2028-02-04,41,3.713572066704308,-0.9599700636384254
2028-02-05,47,3.8501476017100584,-0.7748215195295372
2028-02-06,25,3.2188758248682006,-1.6306047343958
2028-02-07,229,5.43372200355424,1.371950191649985
2028-02-08,93,4.532599493153256,0.15034398774630803
2028-02-09,38,3.6375861597263857,-1.0629803139673981
2028-02-10,76,4.330733340286331,-0.12331574425913348
2028-02-11,54,3.9889840465642745,-0.5866079743076222
2028-02-12,53,3.970291913552122,-0.6119479534872316
2028-02-13,67,4.204692619390966,-0.2941827737840703
2028-02-14,96,4.564348191467836,0.1933840920376752
2028-02-15,21,3.044522437723423,-1.8669668016500098
2028-02-16,54,3.9889840465642745,-0.5866079743076222
2028-02-17,45,3.8066624897703196,-0.8337720860839034
2028-02-18,73,4.290459441148391,-0.17791303205788792
2028-02-19,47,3.8501476017100584,-0.7748215195295372
2028-02-20,47,3.8501476017100584,-0.7748215195295372
2028-02-21,37,3.6109179126442243,-1.0991331075185298
2028-02-22,119,4.77912349311153,0.4845441040281305
2028-02-23,41,3.713572066704308,-0.9599700636384254
2028-02-24,30,3.4011973816621555,-1.3834406226195186
2028-02-25,38,3.6375861597263857,-1.0629803139673981
2028-02-26,26,3.258096538021482,-1.5774351975608414
2028-02-27,51,3.9318256327243257,-0.6640947445816267
2028-02-28,192,5.2574953720277815,1.1330486617459397
2028-02-29,164,5.099866427824199,0.9193590757781037
2028-03-01,131,4.875197323201151,0.6147865355683706
2028-03-02,83,4.418840607796598,-0.0038731786176994703
2028-03-03,113,4.727387818712341,0.4144086673036983
2028-03-04,76,4.330733340286331,-0.12331574425913348
2028-03-05,162,5.087596335232384,0.902725131936257
2028-03-06,13,2.5649493574615367,-2.517099767269106
2028-03-07,373,5.921578419643816,2.0333124566366227
2028-03-08,76,4.330733340286331,-0.12331574425913348
2028-03-09,130,4.867534450455582,0.6043983666150216
2028-03-10,92,4.5217885770490405,0.1356881756559903
2028-03-11,135,4.90527477843843,0.655561020159977
2028-03-12,92,4.5217885770490405,0.1356881756559903
2028-03-13,114,4.736198448394496,0.4263527922764824
2028-03-14,160,5.075173815233827,0.8858845499696585
2028-03-15,77,4.343805421853684,-0.10559458453190892
2028-03-16,105,4.653960350157523,0.31486676252585316
2028-03-17,114,4.736198448394496,0.4263527922764824
2028-03-18,105,4.653960350157523,0.31486676252585316
2028-03-19,85,4.442651256490317,0.02840571335035721
2028-03-20,175,5.1647859739235145,1.0073672204578377
2028-03-21,121,4.795790545596741,0.5071387839764349
2028-03-22,353,5.8664680569332965,1.9586021256777448
2028-03-23,98,4.584967478670572,0.2213366166680118
2028-03-24,78,4.356708826689592,-0.08810209131696171
2028-03-25,81,4.394449154672439,-0.03693943777200635
2028-03-26,75,4.31748811353631,-0.14127162815192015
2028-03-27,64,4.1588830833596715,-0.35628444449794067
2028-03-28,444,6.095824562432225,2.269529138141879
2028-03-29,206,5.327876168789581,1.22846034769044
2028-03-30,188,5.236441962829949,1.1045076198869919
2028-03-31,231,5.442417710521793,1.3837385217119702
2028-04-01,77,4.343805421853684,-0.10559458453190892
2028-04-02,113,4.727387818712341,0.4144086673036983
2028-04-03,83,4.418840607796598,-0.0038731786176994703
2028-04-04,125,4.8283137373023015,0.5512288297800644
2028-04-05,82,4.406719247264253,-0.020305493930160852
2028-04-06,32,3.4657359027997265,-1.2959490142062047
2028-04-07,250,5.521460917862246,1.4908933994883278
2028-04-08,221,5.3981627015177525,1.3237442446529135
2028-04-09,93,4.532599493153256,0.15034398774630803
2028-04-10,114,4.736198448394496,0.4263527922764824
2028-04-11,96,4.564348191467836,0.1933840920376752
2028-04-12,94,4.543294782270004,0.16484305017872736
2028-04-13,159,5.0689042022202315,0.8773851527566482
2028-04-14,174,5.159055299214529,0.9995984346420941
2028-04-15,76,4.330733340286331,-0.12331574425913348
2028-04-16,101,4.61512051684126,0.2622135652190641
2028-04-17,96,4.564348191467836,0.1933840920376752
2028-04-18,122,4.804021044733257,0.5182964553145053
2028-04-19,90,4.499809670330265,0.1058924836243611
2028-04-20,82,4.406719247264253,-0.020305493930160852
2028-04-21,69,4.23410650459726,-0.2543078575166584
2028-04-22,305,5.720311776607412,1.7604654497821044
2028-04-23,131,4.875197323201151,0.6147865355683706
2028-04-24,78,4.356708826689592,-0.08810209131696171
2028-04-25,97,4.574710978503383,0.2074323982182891
2028-04-26,60,4.0943445622221,-0.4437760529112547
2028-04-27,81,4.394449154672439,-0.03693943777200635
2028-04-28,218,5.384495062789089,1.3052157182084683
2028-04-29,254,5.537334267018537,1.5124120959832417
2028-04-30,118,4.770684624465665,0.4731039566866453
2028-05-01,98,4.584967478670572,0.2213366166680118
2028-05-02,29,3.367295829986474,-1.4293992413100503
2028-05-03,43,3.7612001156935624,-0.8954031268972589
2028-05-04,25,3.2188758248682006,-1.6306047343958
2028-05-05,82,4.406719247264253,-0.020305493930160852
2028-05-06,32,3.4657359027997265,-1.2959490142062047
2028-05-07,236,5.4638318050256105,1.4127685263949097
2028-05-08,91,4.51085950651685,0.12087218758453032
2028-05-09,53,3.970291913552122,-0.6119479534872316
2028-05-10,41,3.713572066704308,-0.9599700636384254
2028-05-11,46,3.828641396489095,-0.8039763940522743
2028-05-12,28,3.332204510175204,-1.4769707684773612
2028-05-13,41,3.713572066704308,-0.9599700636384254
2028-05-14,31,3.4339872044851463,-1.3389891184975724
2028-05-15,19,2.9444389791664403,-2.0026448836756625
2028-05-16,51,3.9318256327243257,-0.6640947445816267
2028-05-17,30,3.4011973816621555,-1.3834406226195186
2028-05-18,58,4.060443010546419,-0.48973467160178635
2028-05-19,28,3.332204510175204,-1.4769707684773612
2028-05-20,52,3.9512437185814275,-0.637770627852577
2028-05-21,11,2.3978952727983707,-2.743566539385546
2028-05-22,133,4.890349128221754,0.6353270711779744
2028-05-23,63,4.143134726391533,-0.3776336954061301
2028-05-24,20,2.995732273553991,-1.9331091591551346
2028-05-25,36,3.58351893845611,-1.136276510843238
2028-05-26,28,3.332204510175204,-1.4769707684773612
2028-05-27,41,3.713572066704308,-0.9599700636384254
2028-05-28,154,5.0369526024136295,0.8340699851763557
2028-05-29,75,4.31748811353631,-0.14127162815192015
2028-05-30,105,4.653960350157523,0.31486676252585316
2028-05-31,68,4.219507705176107,-0.2740987114089774
2028-06-01,296,5.69035945432406,1.7198606016062632
2028-06-02,128,4.852030263919617,0.5833801252103239
2028-06-03,101,4.61512051684126,0.2622135652190641
2028-06-04,205,5.3230099791384085,1.2218635005374383
2028-06-05,142,4.955827057601261,0.7240921878247435
2028-06-06,184,5.214935757608986,1.0753527453642548
2028-06-07,483,6.180016653652572,2.383664097336977
2028-06-08,229,5.43372200355424,1.371950191649985
2028-06-09,125,4.8283137373023015,0.5512288297800644
2028-06-10,170,5.135798437050262,0.9680702830586217
2028-06-11,168,5.123963979403259,0.952026907474783
2028-06-12,229,5.43372200355424,1.371950191649985
2028-06-13,163,5.093750200806762,0.911067616201027
2028-06-14,311,5.739792912179234,1.786875039820019
2028-06-15,110,4.700480365792417,0.3779315944985823
2028-06-16,174,5.159055299214529,0.9995984346420941
2028-06-17,175,5.1647859739235145,1.0073672204578377
2028-06-18,150,5.0106352940962555,0.7983929415563444
2028-06-19,116,4.7535901911063645,0.4499298981064782
2028-06-20,232,5.44673737166631,1.3895944678147427
2028-06-21,136,4.912654885736052,0.6655658582992872
2028-06-22,403,5.998936561946683,2.138182976980848
2028-06-23,153,5.030437921392435,0.8252383616622531
2028-06-24,79,4.3694478524670215,-0.0708324384764481
2028-06-25,190,5.247024072160486,1.1188532502084656
2028-06-26,86,4.454347296253507,0.04426144281100505
2028-06-27,227,5.424950017481403,1.3600584538635592
2028-06-28,564,6.335054251498059,2.5938407261308725
2028-06-29,472,6.156978985585555,2.352433096103173
2028-06-30,200,5.298317366548036,1.188388974728993
2028-07-01,241,5.484796933490655,1.441189890530114
2028-07-02,19,2.9444389791664403,-2.0026448836756625
2028-07-03,74,4.30406509320417,-0.15946853781026468
2028-07-04,41,3.713572066704308,-0.9599700636384254
2028-07-05,51,3.9318256327243257,-0.6640947445816267
2028-07-06,16,2.772588722239781,-2.235613583914469
2028-07-07,206,5.327876168789581,1.22846034769044
2028-07-08,83,4.418840607796598,-0.0038731786176994703
2028-07-09,91,4.51085950651685,0.12087218758453032
2028-07-10,71,4.2626798770413155,-0.21557238188352099
2028-07-11,63,4.143134726391533,-0.3776336954061301
2028-07-12,58,4.060443010546419,-0.48973467160178635
2028-07-13,85,4.442651256490317,0.02840571335035721
2028-07-14,86,4.454347296253507,0.04426144281100505
2028-07-15,16,2.772588722239781,-2.235613583914469
2028-07-16,50,3.912023005428146,-0.6909401646875354
2028-07-17,43,3.7612001156935624,-0.8954031268972589
2028-07-18,84,4.430816798843313,0.012362337766518544
2028-07-19,51,3.9318256327243257,-0.6640947445816267
2028-07-20,59,4.07753744390572,-0.4665606130216193
2028-07-21,33,3.4965075614664802,-1.254233433141666
2028-07-22,194,5.267858159063328,1.1470969679265537
2028-07-23,56,4.02535169073515,-0.5373061987690961
2028-07-24,33,3.4965075614664802,-1.254233433141666
2028-07-25,50,3.912023005428146,-0.6909401646875354
2028-07-26,45,3.8066624897703196,-0.8337720860839034
2028-07-27,41,3.713572066704308,-0.9599700636384254
2028-07-28,192,5.2574953720277815,1.1330486617459397
2028-07-29,143,4.962844630259907,0.7336055560928741
2028-07-30,146,4.983606621708336,0.7617515376503766
2028-07-31,168,5.123963979403259,0.952026907474783
2028-08-01,127,4.844187086458591,0.5727475262749772
2028-08-02,79,4.3694478524670215,-0.0708324384764481
2028-08-03,74,4.30406509320417,-0.15946853781026468
2028-08-04,60,4.0943445622221,-0.4437760529112547
2028-08-05,70,4.248495242049359,-0.2348017740097615
2028-08-06,27,3.295836866004329,-1.5262725440158866
2028-08-07,222,5.402677381872279,1.3298645684336146
2028-08-08,85,4.442651256490317,0.02840571335035721
2028-08-09,108,4.68213122712422,0.3530565954006423
2028-08-10,67,4.204692619390966,-0.2941827737840703
2028-08-11,85,4.442651256490317,0.02840571335035721
2028-08-12,100,4.605170185988092,0.24872440502072976
2028-08-13,87,4.465908118654584,0.05993386493382951
2028-08-14,174,5.159055299214529,0.9995984346420941
2028-08-15,29,3.367295829986474,-1.4293992413100503
2028-08-16,41,3.713572066704308,-0.9599700636384254
2028-08-17,64,4.1588830833596715,-0.35628444449794067
2028-08-18,109,4.6913478822291435,0.36555114850020365
2028-08-19,38,3.6375861597263857,-1.0629803139673981
2028-08-20,94,4.543294782270004,0.16484305017872736
2028-08-21,43,3.7612001156935624,-0.8954031268972589
2028-08-22,244,5.497168225293202,1.45796102502277
2028-08-23,70,4.248495242049359,-0.2348017740097615
2028-08-24,36,3.58351893845611,-1.136276510843238
2028-08-25,30,3.4011973816621555,-1.3834406226195186
2028-08-26,24,3.1780538303479458,-1.6859450473788533
2028-08-27,73,4.290459441148391,-0.17791303205788792
2028-08-28,264,5.575949103146316,1.564760275983127
2028-08-29,110,4.700480365792417,0.3779315944985823
2028-08-30,187,5.231108616854587,1.0972774725364742
2028-08-31,169,5.1298987149230735,0.9600723282093145
2028-09-01,106,4.663439094112067,0.3277166162210323
2028-09-02,22,3.091042453358316,-1.8039019696772813
2028-09-03,98,4.584967478670572,0.2213366166680118
2028-09-04,44,3.784189633918261,-0.8642373999690174
2028-09-05,67,4.204692619390966,-0.2941827737840703
2028-09-06,23,3.1354942159291497,-1.7436409637605388
2028-09-07,178,5.181783550292085,1.0304099749152005
2028-09-08,95,4.553876891600541,0.17918868050020112
2028-09-09,38,3.6375861597263857,-1.0629803139673981
2028-09-10,76,4.330733340286331,-0.12331574425913348
2028-09-11,66,4.189654742026425,-0.3145688634334022
2028-09-12,48,3.871201010907891,-0.7462804776705887
2028-09-13,78,4.356708826689592,-0.08810209131696171
2028-09-14,65,4.174387269895637,-0.33526620309324295
2028-09-15,22,3.091042453358316,-1.8039019696772813
2028-09-16,53,3.970291913552122,-0.6119479534872316
2028-09-17,30,3.4011973816621555,-1.3834406226195186
2028-09-18,57,4.04305126783455,-0.5133117774317821
2028-09-19,31,3.4339872044851463,-1.3389891184975724
2028-09-20,46,3.828641396489095,-0.8039763940522743
2028-09-21,32,3.4657359027997265,-1.2959490142062047
2028-09-22,173,5.153291594497779,0.9917848717156532
2028-09-23,62,4.127134385045092,-0.3993245487893078
2028-09-24,29,3.367295829986474,-1.4293992413100503
2028-09-25,50,3.912023005428146,-0.6909401646875354
2028-09-26,39,3.6635616461296463,-1.0277666610252263
2028-09-27,47,3.8501476017100584,-0.7748215195295372
2028-09-28,175,5.1647859739235145,1.0073672204578377
2028-09-29,113,4.727387818712341,0.4144086673036983
2028-09-30,95,4.553876891600541,0.17918868050020112
2028-10-01,150,5.0106352940962555,0.7983929415563444
2028-10-02,36,3.58351893845611,-1.136276510843238
2028-10-03,52,3.9512437185814275,-0.637770627852577
2028-10-04,59,4.07753744390572,-0.4665606130216193
2028-10-05,44,3.784189633918261,-0.8642373999690174
2028-10-06,21,3.044522437723423,-1.8669668016500098
2028-10-07,218,5.384495062789089,1.3052157182084683
2028-10-08,100,4.605170185988092,0.24872440502072976
2028-10-09,57,4.04305126783455,-0.5133117774317821
2028-10-10,46,3.828641396489095,-0.8039763940522743
2028-10-11,45,3.8066624897703196,-0.8337720860839034
2028-10-12,46,3.828641396489095,-0.8039763940522743
2028-10-13,72,4.276666119016055,-0.1966119411349735
2028-10-14,77,4.343805421853684,-0.10559458453190892
2028-10-15,49,3.8918202981106265,-0.7183279530402533
2028-10-16,59,4.07753744390572,-0.4665606130216193
2028-10-17,38,3.6375861597263857,-1.0629803139673981
2028-10-18,66,4.189654742026425,-0.3145688634334022
2028-10-19,43,3.7612001156935624,-0.8954031268972589
2028-10-20,43,3.7612001156935624,-0.8954031268972589
2028-10-21,28,3.332204510175204,-1.4769707684773612
2028-10-22,139,4.9344739331306915,0.695144837131698
2028-10-23,38,3.6375861597263857,-1.0629803139673981
2028-10-24,39,3.6635616461296463,-1.0277666610252263
2028-10-25,34,3.5263605246161616,-1.2137632811172419
2028-10-26,31,3.4339872044851463,-1.3389891184975724
2028-10-27,36,3.58351893845611,-1.136276510843238
2028-10-28,180,5.19295685089021,1.0455570533326257
2028-10-29,86,4.454347296253507,0.04426144281100505
2028-10-30,87,4.465908118654584,0.05993386493382951
2028-10-31,82,4.406719247264253,-0.020305493930160852
2028-11-01,122,4.804021044733257,0.5182964553145053
2028-11-02,50,3.912023005428146,-0.6909401646875354
2028-11-03,46,3.828641396489095,-0.8039763940522743
2028-11-04,49,3.8918202981106265,-0.7183279530402533
2028-11-05,191,5.25227342804663,1.1259695364436835
2028-11-06,21,3.044522437723423,-1.8669668016500098
2028-11-07,164,5.099866427824199,0.9193590757781037
2028-11-08,104,4.6443908991413725,0.30189394185568696
2028-11-09,68,4.219507705176107,-0.2740987114089774
2028-11-10,94,4.543294782270004,0.16484305017872736
2028-11-11,85,4.442651256490317,0.02840571335035721
2028-11-12,55,4.007333185232471,-0.5617329752096822
2028-11-13,104,4.6443908991413725,0.30189394185568696
2028-11-14,187,5.231108616854587,1.0972774725364742
2028-11-15,53,3.970291913552122,-0.6119479534872316
2028-11-16,36,3.58351893845611,-1.136276510843238
2028-11-17,71,4.2626798770413155,-0.21557238188352099
2028-11-18,93,4.532599493153256,0.15034398774630803
2028-11-19,41,3.713572066704308,-0.9599700636384254
2028-11-20,84,4.430816798843313,0.012362337766518544
2028-11-21,46,3.828641396489095,-0.8039763940522743
2028-11-22,220,5.393627546352362,1.3175961642068468
2028-11-23,60,4.0943445622221,-0.4437760529112547
2028-11-24,47,3.8501476017100584,-0.7748215195295372
2028-11-25,55,4.007333185232471,-0.5617329752096822
2028-11-26,45,3.8066624897703196,-0.8337720860839034
2028-11-27,101,4.61512051684126,0.2622135652190641
2028-11-28,271,5.602118820879701,1.600237238514321
2028-11-29,185,5.220355825078324,1.0827004566573333
2028-11-30,109,4.6913478822291435,0.36555114850020365
2028-12-01,125,4.8283137373023015,0.5512288297800644
2028-12-02,38,3.6375861597263857,-1.0629803139673981
2028-12-03,51,3.9318256327243257,-0.6640947445816267
2028-12-04,52,3.9512437185814275,-0.637770627852577
2028-12-05,38,3.6375861597263857,-1.0629803139673981
2028-12-06,65,4.174387269895637,-0.33526620309324295
2028-12-07,227,5.424950017481403,1.3600584538635592
2028-12-08,131,4.875197323201151,0.6147865355683706
2028-12-09,35,3.5553480614894135,-1.1744663437180267
2028-12-10,99,4.59511985013459,0.23509967310221366
2028-12-11,62,4.127134385045092,-0.3993245487893078
2028-12-12,56,4.02535169073515,-0.5373061987690961
2028-12-13,75,4.31748811353631,-0.14127162815192015
2028-12-14,40,3.6888794541139363,-0.99344458944687
2028-12-15,45,3.8066624897703196,-0.8337720860839034
2028-12-16,55,4.007333185232471,-0.5617329752096822
2028-12-17,57,4.04305126783455,-0.5133117774317821
2028-12-18,71,4.2626798770413155,-0.21557238188352099
2028-12-19,34,3.5263605246161616,-1.2137632811172419
2028-12-20,51,3.9318256327243257,-0.6640947445816267
2028-12-21,30,3.4011973816621555,-1.3834406226195186
2028-12-22,171,5.14166355650266,0.9760213288120982
2028-12-23,46,3.828641396489095,-0.8039763940522743
2028-12-24,37,3.6109179126442243,-1.0991331075185298
2028-12-25,32,3.4657359027997265,-1.2959490142062047
2028-12-26,35,3.5553480614894135,-1.1744663437180267
2028-12-27,74,4.30406509320417,-0.15946853781026468
2028-12-28,140,4.941642422609304,0.7048627956985019
2028-12-29,166,5.111987788356544,0.9357913910905651
2028-12-30,91,4.51085950651685,0.12087218758453032
2028-12-31,131,4.875197323201151,0.6147865355683706
